[2025-04-26 19:59:55] 19:59:55 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34412 -> 107.182.234.156:443 | SYN
[2025-04-26 20:02:12] 20:02:12 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35914 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:13] 20:02:13 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35164 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:13] 20:02:13 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35168 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:13] 20:02:13 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35184 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:13] 20:02:13 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35186 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:13] 20:02:13 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35196 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:14] 20:02:14 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35914 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:15] 20:02:15 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:42094 -> 52.168.112.67:443 | SYN
[2025-04-26 20:02:15] 20:02:15 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35206 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:15] 20:02:15 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:57242 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:15] 20:02:15 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35212 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:15] 20:02:15 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35216 -> 13.107.5.93:443 | SYN
[2025-04-26 20:02:16] 20:02:16 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35922 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:16] 20:02:16 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35924 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:17] 20:02:17 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35924 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:17] 20:02:17 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35922 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:17] 20:02:17 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34580 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:18] 20:02:18 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44708 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:18] 20:02:18 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44724 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:18] 20:02:18 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34580 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:20] 20:02:20 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34588 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:20] 20:02:20 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44736 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:21] 20:02:21 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34588 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:21] 20:02:21 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34594 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:22] 20:02:22 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34610 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:22] 20:02:22 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34594 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:22] 20:02:22 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44748 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:23] 20:02:23 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34610 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:24] 20:02:24 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44750 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:24] 20:02:24 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34626 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:25] 20:02:25 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44754 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:25] 20:02:25 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34626 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:25] 20:02:25 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34630 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:26] 20:02:26 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34632 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:26] 20:02:26 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44760 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:26] 20:02:26 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34630 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:27] 20:02:27 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:34632 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:27] 20:02:27 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43680 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:28] 20:02:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36310 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:28] 20:02:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43696 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:28] 20:02:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43680 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:28] 20:02:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36322 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:29] 20:02:29 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43706 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:29] 20:02:29 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43696 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:30] 20:02:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43706 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:30] 20:02:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43722 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:30] 20:02:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36332 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:30] 20:02:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36342 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:30] 20:02:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43736 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:31] 20:02:31 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43722 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:31] 20:02:31 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36352 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:32] 20:02:32 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:43736 -> 169.254.169.254:80 | SYN
[2025-04-26 20:02:32] 20:02:32 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36356 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:33] 20:02:33 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36364 -> 20.189.172.76:443 | SYN
[2025-04-26 20:02:46] 20:02:46 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:45702 -> 13.107.246.33:443 | SYN
[2025-04-26 20:03:57] 20:03:57 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:52034 -> 40.71.11.167:443 | SYN
[2025-04-26 20:05:00] 20:05:00 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44214 -> 107.182.234.156:443 | SYN
[2025-04-26 20:07:46] 20:07:46 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:42728 -> 13.107.246.33:443 | SYN
[2025-04-26 20:07:48] 20:07:48 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53252 -> 20.42.73.24:443 | SYN
[2025-04-26 20:08:58] 20:08:58 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:57636 -> 40.71.11.167:443 | SYN
[2025-04-26 20:09:05] 20:09:05 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:49922 -> 107.182.234.156:443 | SYN
[2025-04-26 20:12:27] 20:12:27 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:59552 -> 20.201.28.151:443 | SYN
[2025-04-26 20:12:28] 20:12:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46900 -> 40.71.11.167:443 | SYN
[2025-04-26 20:12:29] 20:12:29 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46648 -> 20.42.73.24:443 | SYN
[2025-04-26 20:12:46] 20:12:46 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44440 -> 13.107.246.33:443 | SYN
[2025-04-26 20:13:07] 20:13:07 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:35334 -> 104.18.32.47:443 | SYN
[2025-04-26 20:13:10] 20:13:10 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:38310 -> 107.182.234.156:443 | SYN
[2025-04-26 20:13:10] 20:13:10 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:38324 -> 107.182.234.156:443 | SYN
[2025-04-26 20:13:11] 20:13:11 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:38310 -> 107.182.234.156:443 | SYN
