[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33208 -> 172.217.29.161:443 | SYN
[2025-04-28 19:37:56] 19:37:56 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37782 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:57] 19:37:57 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54194 -> 144.22.135.178:443 | SYN
[2025-04-28 19:38:01] 19:38:01 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33178 -> 157.249.81.141:443 | SYN
[2025-04-28 19:38:04] 19:38:04 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:44092 -> 142.251.128.238:443 | SYN
[2025-04-28 19:38:05] 19:38:05 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:44098 -> 142.251.128.238:443 | SYN
[2025-04-28 19:38:17] 19:38:17 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33178 -> 157.249.81.141:443 | SYN
[2025-04-28 19:38:25] 19:38:25 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53602 -> 144.22.135.178:443 | SYN
[2025-04-28 19:38:25] 19:38:25 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53610 -> 144.22.135.178:443 | SYN
[2025-04-28 19:38:26] 19:38:26 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53602 -> 144.22.135.178:443 | SYN
[2025-04-28 19:38:27] 19:38:27 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53612 -> 144.22.135.178:443 | SYN
[2025-04-28 19:38:27] 19:38:27 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53626 -> 144.22.135.178:443 | SYN
[2025-04-28 19:38:27] 19:38:27 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53642 -> 144.22.135.178:443 | SYN
[2025-04-28 19:38:42] 19:38:42 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60614 -> 192.0.73.2:443 | SYN
[2025-04-28 19:38:42] 19:38:42 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:45594 -> 146.112.41.2:443 | SYN
[2025-04-28 19:38:42] 19:38:42 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60626 -> 192.0.73.2:443 | SYN
[2025-04-28 19:38:42] 19:38:42 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:45600 -> 146.112.41.2:443 | SYN
[2025-04-28 19:38:44] 19:38:44 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:35018 -> 20.44.10.122:443 | SYN
[2025-04-28 19:38:44] 19:38:44 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:56940 -> 20.189.173.1:443 | SYN
[2025-04-28 19:38:44] 19:38:44 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:57812 -> 172.217.29.99:443 | SYN
[2025-04-28 19:38:44] 19:38:44 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:45520 -> 20.42.73.26:443 | SYN
[2025-04-28 19:38:44] 19:38:44 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:56952 -> 20.189.173.1:443 | SYN
[2025-04-28 19:38:45] 19:38:45 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:45808 -> 140.82.114.21:443 | SYN
[2025-04-28 19:38:46] 19:38:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53242 -> 20.201.28.151:443 | SYN
[2025-04-28 19:38:46] 19:38:46 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:57822 -> 172.217.29.99:443 | SYN
[2025-04-28 19:38:54] 19:38:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:55322 -> 52.168.112.66:443 | SYN
[2025-04-28 19:38:54] 19:38:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:48876 -> 51.116.253.170:443 | SYN
[2025-04-28 19:38:55] 19:38:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:48876 -> 51.116.253.170:443 | SYN
[2025-04-28 19:38:55] 19:38:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53106 -> 4.249.131.160:443 | SYN
