[2025-04-23 12:15:49] eth:ethertype:ip:tcp 20.189.172.73:443 -> 192.7.0.42:40232 | Possível SYN
[2025-04-23 12:15:49] eth:ethertype:ip:tcp 192.7.0.42:58512 -> 13.107.246.33:443 | Possível SYN
[2025-04-23 12:15:49] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:58512 | Possível SYN
[2025-04-23 12:15:49] eth:ethertype:ip:tcp 192.7.0.42:40230 -> 20.189.172.73:443 | Possível FIN
[2025-04-23 12:15:50] eth:ethertype:ip:tcp 192.7.0.42:40232 -> 20.189.172.73:443 | Possível FIN
[2025-04-23 12:15:50] eth:ethertype:ip:tcp 192.7.0.42:57696 -> 13.89.178.26:443 | Possível SYN
[2025-04-23 12:15:51] eth:ethertype:ip:tcp 13.89.178.26:443 -> 192.7.0.42:57696 | Possível SYN
[2025-04-23 12:15:51] eth:ethertype:ip:tcp 192.7.0.42:56252 -> 20.189.172.73:443 | Possível SYN
[2025-04-23 12:15:51] eth:ethertype:ip:tcp 20.189.172.73:443 -> 192.7.0.42:56252 | Possível SYN
[2025-04-23 12:15:51] eth:ethertype:ip:tcp 192.7.0.42:57696 -> 13.89.178.26:443 | Possível FIN
[2025-04-23 12:15:52] eth:ethertype:ip:tcp 192.7.0.42:56252 -> 20.189.172.73:443 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 192.7.0.42:32818 -> 142.251.135.206:443 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 142.251.135.206:443 -> 192.7.0.42:32818 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 192.7.0.42:34708 -> 142.251.134.230:443 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 192.7.0.42:60620 -> 172.217.28.138:443 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 192.7.0.42:56920 -> 172.217.28.54:443 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 192.7.0.42:34338 -> 172.217.29.193:443 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 142.251.134.230:443 -> 192.7.0.42:34708 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 172.217.28.138:443 -> 192.7.0.42:60620 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 172.217.28.54:443 -> 192.7.0.42:56920 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 172.217.29.193:443 -> 192.7.0.42:34338 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 192.7.0.42:42294 -> 172.217.30.3:443 | Possível FIN
[2025-04-23 12:15:54] eth:ethertype:ip:tcp 172.217.30.3:443 -> 192.7.0.42:42294 | Possível FIN
[2025-04-23 12:15:55] eth:ethertype:ip:tcp 192.7.0.42:58288 -> 172.217.29.238:443 | Possível FIN
[2025-04-23 12:15:55] eth:ethertype:ip:tcp 172.217.29.238:443 -> 192.7.0.42:58288 | Possível FIN
[2025-04-23 12:16:02] eth:ethertype:ip:tcp 192.7.0.42:42940 -> 140.82.114.21:443 | Possível SYN
[2025-04-23 12:16:03] eth:ethertype:ip:tcp 140.82.114.21:443 -> 192.7.0.42:42940 | Possível SYN
[2025-04-23 12:16:04] eth:ethertype:ip:tcp 192.7.0.42:42940 -> 140.82.114.21:443 | Possível FIN
[2025-04-23 12:16:18] eth:ethertype:ip:tcp 40.71.11.167:443 -> 192.7.0.42:46154 | Possível FIN
[2025-04-23 12:16:18] eth:ethertype:ip:tcp 20.201.28.148:443 -> 192.7.0.42:47390 | Possível FIN
[2025-04-23 12:16:18] eth:ethertype:ip:tcp 192.7.0.42:47390 -> 20.201.28.148:443 | Possível FIN
[2025-04-23 12:16:27] eth:ethertype:ip:tcp 192.7.0.42:49838 -> 35.190.80.1:443 | Possível SYN
[2025-04-23 12:16:27] eth:ethertype:ip:tcp 35.190.80.1:443 -> 192.7.0.42:49838 | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:udp:dns 192.7.0.42: -> 10.8.0.254: | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:udp:dns 192.7.0.42: -> 10.8.0.254: | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:tcp 192.7.0.42:46154 -> 40.71.11.167:443 | Possível FIN
[2025-04-23 12:16:28] eth:ethertype:ip:udp:dns 10.8.0.254: -> 192.7.0.42: | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:udp:dns 10.8.0.254: -> 192.7.0.42: | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:tcp 192.7.0.42:59640 -> 40.71.11.167:443 | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:tcp 192.7.0.42:59644 -> 40.71.11.167:443 | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:tcp 40.71.11.167:443 -> 192.7.0.42:59640 | Possível SYN
[2025-04-23 12:16:28] eth:ethertype:ip:tcp 40.71.11.167:443 -> 192.7.0.42:59644 | Possível SYN
[2025-04-23 12:16:47] eth:ethertype:ip:tcp 192.7.0.42:46672 -> 20.201.28.151:443 | Possível SYN
[2025-04-23 12:16:47] eth:ethertype:ip:tcp 20.201.28.151:443 -> 192.7.0.42:46672 | Possível SYN
[2025-04-23 12:16:48] eth:ethertype:ip:tcp 192.7.0.42:46672 -> 20.201.28.151:443 | Possível FIN
[2025-04-23 12:16:48] eth:ethertype:ip:tcp 20.201.28.151:443 -> 192.7.0.42:46672 | Possível FIN
[2025-04-23 12:16:48] eth:ethertype:ip:tcp 192.7.0.42:44448 -> 20.201.28.148:443 | Possível SYN
[2025-04-23 12:16:48] eth:ethertype:ip:tcp 20.201.28.148:443 -> 192.7.0.42:44448 | Possível SYN
[2025-04-23 12:16:48] eth:ethertype:ip:tcp 192.7.0.42:60740 -> 140.82.112.22:443 | Possível SYN
[2025-04-23 12:16:48] eth:ethertype:ip:tcp 192.7.0.42:60750 -> 140.82.112.22:443 | Possível SYN
[2025-04-23 12:16:49] eth:ethertype:ip:tcp 140.82.112.22:443 -> 192.7.0.42:60750 | Possível SYN
[2025-04-23 12:16:49] eth:ethertype:ip:tcp 140.82.112.22:443 -> 192.7.0.42:60740 | Possível SYN
[2025-04-23 12:16:53] eth:ethertype:ip:tcp 192.7.0.42:37512 -> 3.233.158.26:443 | Possível SYN
[2025-04-23 12:16:53] eth:ethertype:ip:tcp 3.233.158.26:443 -> 192.7.0.42:37512 | Possível SYN
[2025-04-23 12:17:09] eth:ethertype:ip:tcp 192.7.0.42:47524 -> 89.58.44.75:443 | Possível SYN
[2025-04-23 12:17:09] eth:ethertype:ip:tcp 89.58.44.75:443 -> 192.7.0.42:47524 | Possível SYN
[2025-04-23 12:17:19] eth:ethertype:ip:tcp 20.201.28.148:443 -> 192.7.0.42:44448 | Possível FIN
[2025-04-23 12:17:19] eth:ethertype:ip:tcp 192.7.0.42:44448 -> 20.201.28.148:443 | Possível FIN
[2025-04-23 12:17:19] eth:ethertype:ip:tcp 13.107.246.33:443 -> 192.7.0.42:58512 | Possível FIN
[2025-04-23 12:17:19] eth:ethertype:ip:tcp 192.7.0.42:58512 -> 13.107.246.33:443 | Possível FIN
[2025-04-23 12:17:20] eth:ethertype:ip:tcp 192.7.0.42:39432 -> 185.199.111.133:443 | Possível SYN
[2025-04-23 12:17:20] eth:ethertype:ip:tcp 192.7.0.42:50078 -> 140.82.112.21:443 | Possível SYN
[2025-04-23 12:17:20] eth:ethertype:ip:tcp 185.199.111.133:443 -> 192.7.0.42:39432 | Possível SYN
[2025-04-23 12:17:20] eth:ethertype:ip:tcp 140.82.112.21:443 -> 192.7.0.42:50078 | Possível SYN
[2025-04-23 12:17:24] eth:ethertype:ip:tcp 192.7.0.42:48898 -> 20.189.173.23:443 | Possível SYN
[2025-04-23 12:17:24] eth:ethertype:ip:tcp 20.189.173.23:443 -> 192.7.0.42:48898 | Possível SYN
[2025-04-23 12:17:25] eth:ethertype:ip:tcp 192.7.0.42:48898 -> 20.189.173.23:443 | Possível FIN
[2025-04-23 12:17:32] eth:ethertype:ip:tcp 192.7.0.42:56328 -> 35.186.238.177:443 | Possível FIN
[2025-04-23 12:17:32] eth:ethertype:ip:tcp 35.186.238.177:443 -> 192.7.0.42:56328 | Possível FIN
[2025-04-23 12:17:35] eth:ethertype:ip:tcp 192.7.0.42:38418 -> 20.189.173.23:443 | Possível SYN
[2025-04-23 12:17:35] eth:ethertype:ip:tcp 20.189.173.23:443 -> 192.7.0.42:38418 | Possível SYN
[2025-04-23 12:17:36] eth:ethertype:ip:tcp 192.7.0.42:35484 -> 140.82.112.21:443 | Possível SYN
[2025-04-23 12:17:36] eth:ethertype:ip:tcp 192.7.0.42:38418 -> 20.189.173.23:443 | Possível FIN
